numeric1,numeric2,numeric3,numeric4,category1,category2,category3,category4,category5,category6,category7,category8,category9,category10,category11,category12,category13,category14,category15,category16,category17,category18,category19,category20,category21,category22,category23,category24,category25,category26,category27,category28,category29,category30,category31,category32,category33,category34,category35,category36,category37,category38,category39,category40,category41,category42,category43,category44,category45,category46,category47,category48,category49,category50
4.629242563,3.874915826,3.977242834,48,0,0,0,1,1,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0
4.685451392,3.979544325,4.11689819,40,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,0,0,0,0,0,2,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.584831841,3.640987748,3.992099548,70,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
4.62642361,3.795480211,3.971463518,40,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,2,0,2,0,0,1,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4.625293579,3.521820704,3.695974506,40,1,0,1,0,0,1,1,0,1,0,1,1,0,1,2,2,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4.590723378,3.55539891,3.834043767,40,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
4.685451392,3.902847255,4.095903274,55,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0
4.578901923,3.821825608,4.105961269,45,1,0,0,1,0,0,1,0,0,0,0,0,2,2,2,1,0,1,0,0,1,0,2,2,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
4.584831841,3.586013203,3.953902088,62,1,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,1,1,0,1,0,1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0
4.690728156,3.969141478,4.135485129,60,0,1,0,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,1,1,1,0,0
4.592483429,3.792662131,4.016702106,49,1,0,0,1,1,0,1,0,0,0,1,1,2,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
4.608172588,3.578901923,3.905344484,56,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4.602393271,3.741878647,4.075447599,58,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,2,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
4.548658635,3.492860492,3.816342222,44,1,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,1,0
4.631491456,4.028758431,4.195440243,51,1,0,1,0,0,0,2,0,0,0,1,1,1,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
4.590723378,3.695974506,4,62,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
4.542487498,3.670511608,4.01116872,54,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0,1
